wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/okeren/.netrc.
wandb: Currently logged in as: uri-koren (uri-koren-technion-israel-institute-of-technology) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /home/okeren/RobustRL/wandb/run-20260618_004749-0czqqjc7
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run Walker2d-v5__baseline__3__1781758066
wandb: ⭐️ View project at https://wandb.ai/uri-koren-technion-israel-institute-of-technology/RobustRL
wandb: 🚀 View run at https://wandb.ai/uri-koren-technion-israel-institute-of-technology/RobustRL/runs/0czqqjc7
wandb: WARNING Step cannot be set when using tensorboard syncing. Please use `run.define_metric(...)` to define a custom metric to log your step values.
global_step=8832, return=-4.594829500417673
global_step=8896, return=0.4940173777953849
global_step=8896, return=2.764923569479675
global_step=8896, return=0.9335458250539772
global_step=9024, return=-7.4929667312339
global_step=9024, return=-1.5911450350142369
global_step=9024, return=-0.4076290558577833
global_step=9024, return=-0.7973001204310572
global_step=9088, return=-0.48863320511808195
global_step=9088, return=1.0603274263127958
global_step=9152, return=-1.0763979105782733
global_step=9152, return=-3.2557050427942302
global_step=9152, return=-1.6764060972915082
global_step=9152, return=-5.82379728039236
global_step=9152, return=-11.497738687719671
global_step=9216, return=-0.4951819753158271
global_step=9216, return=3.752265826456462
global_step=9280, return=-2.62049529212497
global_step=9344, return=9.266294430351298
global_step=9344, return=-1.8125861310816944
global_step=9344, return=2.441793708979416
global_step=9344, return=-2.5204809260516656
global_step=9344, return=4.665161219104512
global_step=9344, return=5.672294581945948
global_step=9408, return=-5.056121820987366
global_step=9408, return=8.011737386676142
global_step=9472, return=-3.626611905669496
global_step=9472, return=-2.641291306464996
global_step=9472, return=-4.288551057219532
global_step=9472, return=4.63703567290273
global_step=9536, return=12.240416503847655
global_step=9536, return=9.40175915680695
global_step=9600, return=5.41055204623161
global_step=9600, return=-0.08159474888897911
global_step=9600, return=-0.09665639468590748
global_step=9600, return=-0.3038592817248892
global_step=9600, return=-1.5072410956520415
global_step=9600, return=4.483501728777239
global_step=9728, return=-1.5900000720431144
global_step=9728, return=14.339068789151026
global_step=9728, return=-7.746480005310479
global_step=9728, return=-9.113449159854543
global_step=9728, return=1.1393798192941826
global_step=9728, return=10.564860682460326
global_step=9792, return=-8.139248050240077
global_step=9792, return=-1.889604378239192
global_step=9792, return=3.928339161539488
global_step=9792, return=-1.6049081989450795
global_step=9856, return=23.11036641169211
global_step=9856, return=0.42857352356221123
global_step=9856, return=-4.408414496584495
global_step=9856, return=10.068057560427308
global_step=9856, return=-4.544330256054446
global_step=9856, return=-7.824013821969718
global_step=9920, return=-0.6800919294205161
global_step=9920, return=9.316499833334893
global_step=9920, return=1.85948249757196
global_step=9984, return=-2.500437588555627
global_step=9984, return=-0.6582944366401718
global_step=9984, return=3.7289591569905634
global_step=10048, return=14.018193797581285
global_step=10112, return=-3.689912580493969
global_step=10176, return=-3.10936408845785
global_step=10176, return=4.304493971837063
global_step=10240, return=0.25728338804856365
global_step=10240, return=10.827147911306382
global_step=10240, return=-5.536249093384717
global_step=10304, return=-2.2148024585170476
global_step=10304, return=2.5779414677600947
global_step=10304, return=-2.8165094108813085
global_step=10368, return=1.8457794645373453
global_step=10368, return=8.04165652206468
global_step=10432, return=-3.60368923576147
global_step=10496, return=-4.54817119486774
global_step=10496, return=5.256675933648072
global_step=10560, return=3.565089410378733
global_step=10560, return=-0.6344351245306037
global_step=10560, return=10.135518909583077
global_step=10624, return=-3.5395086385294436
global_step=10624, return=-4.347711997425202
global_step=10624, return=-8.991633208582757
global_step=10688, return=-1.900397177775523
global_step=10688, return=3.265002081530999
global_step=10688, return=3.5950299325110975
global_step=10688, return=8.450319908116812
global_step=10688, return=-2.5153951579925367
global_step=10752, return=0.834637964809327
global_step=10752, return=5.588737097049011
global_step=10752, return=4.2608430645370445
global_step=10816, return=7.180499376422984
global_step=10816, return=-4.061904291643664
global_step=10944, return=-4.248043152099976
global_step=10944, return=7.640216117975001
global_step=10944, return=-1.0379828114770127
global_step=10944, return=5.060141796387095
global_step=11008, return=-2.9595239139439196
global_step=11008, return=4.546517914886314
global_step=11008, return=-3.4107623410340473
global_step=11008, return=-9.596941512851027
global_step=11008, return=1.4274306817404456
global_step=11008, return=9.325628358031139
global_step=11008, return=-1.0050486309110267
global_step=11008, return=1.2375063599607925
global_step=11008, return=-1.8988993169185089
global_step=11072, return=-13.663701189232425
global_step=11072, return=20.516710810990382
global_step=11136, return=7.446624895679783
global_step=11136, return=3.314655640427196
global_step=11136, return=2.124040492621663
global_step=11200, return=-3.1464920603963273
